City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Pacific Grove,US,2021-10-03 15:58:06,36.6177,-121.9166,80.62,97,0,6.22
149,Zhigansk,RU,2021-10-03 15:58:07,66.7697,123.3711,25.99,84,29,5.84
150,Smithers,CA,2021-10-03 15:58:07,54.7804,-127.1743,34.12,86,40,6.91
151,Tuatapere,NZ,2021-10-03 15:58:08,-46.1333,167.6833,44.82,93,100,4.14
152,Nanortalik,GL,2021-10-03 15:58:08,60.1432,-45.2371,41.74,69,0,5.39
153,Longyearbyen,SJ,2021-10-03 15:58:08,78.2186,15.6401,39.04,87,75,8.05
154,Guerrero Negro,MX,2021-10-03 15:58:01,27.9769,-114.0611,76.96,61,44,3.33
155,Rakitnoye,RU,2021-10-03 15:58:09,50.8389,35.8515,53.85,53,5,7.16
156,Avarua,CK,2021-10-03 15:58:09,-21.2078,-159.775,73.45,73,99,9.22
157,Tuktoyaktuk,CA,2021-10-03 15:58:10,69.4541,-133.0374,33.8,100,90,19.57
158,Pericos,MX,2021-10-03 15:58:10,25.05,-107.7,83.86,75,100,1.88
159,Inta,RU,2021-10-03 15:58:11,66.0317,60.1659,32.77,84,86,5.5
160,Aklavik,CA,2021-10-03 15:58:11,68.2191,-135.0107,34.63,100,90,14.97
161,Port Alfred,ZA,2021-10-03 15:56:02,-33.5906,26.891,59.72,61,43,15.3
162,Ponta Do Sol,PT,2021-10-03 15:58:12,32.6667,-17.1,77.72,72,45,2.06
163,Port Elizabeth,ZA,2021-10-03 15:58:12,-33.918,25.5701,59.29,63,20,16.11
164,Natal,BR,2021-10-03 15:58:12,-5.795,-35.2094,88.45,62,40,20.71
165,Goderich,CA,2021-10-03 15:58:13,43.7501,-81.7165,67.21,98,100,5.03
166,Hambantota,LK,2021-10-03 15:58:13,6.1241,81.1185,80.94,94,20,8.05
167,Hua Hin,TH,2021-10-03 15:58:13,12.5707,99.9588,84.0,70,96,3.8
168,Chingirlau,KZ,2021-10-03 15:58:14,51.095,54.0814,51.06,60,100,5.1
169,Bonavista,CA,2021-10-03 15:58:14,48.6499,-53.1147,61.12,87,91,7.38
170,Anshun,CN,2021-10-03 15:58:14,26.25,105.9333,66.31,83,56,14.63
171,Makakilo City,US,2021-10-03 15:58:15,21.3469,-158.0858,75.52,91,75,4.61
172,Faya,SA,2021-10-03 15:58:15,18.3851,42.4509,69.91,59,98,7.78
173,Corinto,GR,2021-10-03 15:58:16,37.9407,22.9573,72.9,46,48,5.84
174,Cururupu,BR,2021-10-03 15:58:16,-1.8283,-44.8683,88.59,54,86,9.42
175,Millinocket,US,2021-10-03 15:58:17,45.6573,-68.7098,61.92,63,1,1.01
176,Salas,ES,2021-10-03 15:58:17,43.4118,-6.2602,62.35,65,20,8.12
177,Bethel,US,2021-10-03 15:58:18,41.3712,-73.414,74.48,75,45,3.22
178,Zheleznodorozhnyy,RU,2021-10-03 15:58:18,55.7503,38.0042,46.81,63,100,3.71
179,Krasnoselkup,RU,2021-10-03 15:58:18,65.7,82.4667,26.78,84,100,9.42
180,Abu Dhabi,AE,2021-10-03 15:55:23,24.4667,54.3667,96.91,30,100,10.36
181,Tottori,JP,2021-10-03 15:56:57,35.5,134.2333,68.23,66,0,10.11
182,Provideniya,RU,2021-10-03 15:58:19,64.3833,-173.3,26.53,75,91,1.74
183,The Valley,AI,2021-10-03 15:58:20,18.217,-63.0578,89.46,66,40,17.27
184,Iqaluit,CA,2021-10-03 15:58:20,63.7506,-68.5145,37.13,74,75,0.0
185,Sandwick,GB,2021-10-03 15:58:20,60.0,-1.25,51.62,82,40,32.21
186,Stornoway,GB,2021-10-03 15:58:21,58.2093,-6.3865,53.92,87,75,12.66
187,Ankazobe,MG,2021-10-03 15:58:21,-18.3167,47.1167,66.61,51,53,15.1
188,Burla,IN,2021-10-03 15:58:21,21.5,83.8667,84.94,87,13,2.21
189,Carutapera,BR,2021-10-03 15:58:22,-1.195,-46.02,89.94,50,58,12.17
190,Leningradskiy,RU,2021-10-03 15:58:22,69.3833,178.4167,15.89,83,81,4.38
191,Panacan,PH,2021-10-03 15:58:22,9.2463,118.4082,80.04,84,100,6.42
192,Walvis Bay,NA,2021-10-03 15:58:23,-22.9575,14.5053,67.15,48,0,10.36
193,Gambela,ET,2021-10-03 15:58:23,8.25,34.5833,73.87,92,96,2.13
194,Kyzyl-Suu,KG,2021-10-03 15:58:24,42.3414,78.0056,45.25,61,91,3.49
195,Verkh-Usugli,RU,2021-10-03 15:58:24,52.7,115.1667,30.06,71,7,2.53
196,Mareeba,AU,2021-10-03 15:58:25,-17.0,145.4333,68.72,95,71,1.36
197,Vardo,NO,2021-10-03 15:58:25,70.3705,31.1107,50.2,76,0,27.63
198,Victoria,HK,2021-10-03 15:56:43,22.2855,114.1577,85.32,79,45,4.0
199,Churapcha,RU,2021-10-03 15:58:26,62.0025,132.4325,27.25,86,45,5.57
200,Eirunepe,BR,2021-10-03 15:58:26,-6.6603,-69.8736,96.76,39,10,3.09
