City_ID,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
387,Biltine,TD,88.03,14.5333,20.9167,overcast clouds,Hôtel Trois Étoiles de Biltine
392,Salinas,US,93.0,36.6777,-121.6555,clear sky,Laurel Inn & Conference Center
398,Kloulklubed,PW,79.3,7.0419,134.2556,light rain,Storyboard Beach Resort
401,Pulau Sebang,MY,78.53,2.455,102.2329,overcast clouds,A'Famosa Resort
403,Nizwa,OM,80.51,22.9333,57.5333,overcast clouds,Orient Apartments
408,Bam,IR,75.58,29.106,58.357,clear sky,Bam Tourist Hotel
410,Mizdah,LY,76.51,31.4451,12.9801,few clouds,محمدالمبروك الاريقط
414,Abnub,EG,75.42,27.2696,31.1511,clear sky,Romany Adly Gad
415,Buchanan,LR,78.19,5.8808,-10.0467,light rain,Kamaneahn Hotel Inc
418,Nisia Floresta,BR,81.41,-6.0911,-35.2086,scattered clouds,Rancho Crepusculo
422,Kalabo,ZM,75.45,-14.97,22.6814,scattered clouds,Sikakubete Guest House Kalabo Town Council
424,Grover Beach,US,88.57,35.1216,-120.6213,clear sky,SeaCrest OceanFront Hotel
425,Kodinar,IN,79.54,20.7903,70.7031,scattered clouds,residency of N.B vadhel
427,Bilhaur,IN,83.17,26.85,80.0833,broken clouds,Bedipur
429,Baker City,US,77.94,44.7749,-117.8344,clear sky,Bridge Street Inn
430,Lac Du Bonnet,CA,78.58,50.2536,-96.0612,broken clouds,Casey's Inn Motor Hotel
432,Asyut,EG,75.38,27.181,31.1837,clear sky,Florence Hotel Assiut
434,Buraydah,SA,84.65,26.326,43.975,clear sky,فندق راحة السلام
445,Bonthe,SL,79.43,7.5264,-12.505,broken clouds,Bonthe Holiday Village
450,Tra Vinh,VN,76.15,9.9347,106.3453,overcast clouds,Hồng Ân
452,Camapua,BR,87.26,-19.5314,-54.0439,broken clouds,Comercial Estrela
453,Jinxiang,CN,76.57,27.4327,120.6062,clear sky,Wolong Village
456,Kingston,JM,83.35,17.997,-76.7936,scattered clouds,The Jamaica Pegasus Hotel
460,Saint Pete Beach,US,91.35,27.7253,-82.7412,clear sky,Grand Plaza Hotel - St. Pete Beach
461,Labuhan,ID,76.6,-6.8844,112.2051,broken clouds,PT PPI Lamongan Tambak C
463,Springdale,US,80.33,36.1867,-94.1288,few clouds,Springdale Inn
465,Diamantino,BR,82.08,-14.4086,-56.4461,overcast clouds,Hotel Delta
466,Orocue,CO,87.75,4.7912,-71.3354,moderate rain,Hotel Brisas de San Miguel
467,Sao Fidelis,BR,82.35,-21.6461,-41.7469,scattered clouds,Hotel São José
471,Cabo San Lucas,MX,94.6,22.8909,-109.9124,broken clouds,Hotel Tesoro Los Cabos
472,Ranong,TH,77.52,9.9658,98.6348,overcast clouds,Tinidee Hotel@Ranong
473,Jasper,US,81.0,37.2001,-94.3502,clear sky,Guest House Motel
474,Ascension,US,88.07,30.2169,-90.9001,broken clouds,Highland Inn
477,Maracaibo,VE,89.46,10.6317,-71.6406,overcast clouds,Motel Aladdin
480,Jacareacanga,BR,93.96,-6.2222,-57.7528,overcast clouds,Casa do Ian😎
481,Tomatlan,MX,89.33,19.9333,-105.25,overcast clouds,El Salvial
482,Wanning,CN,79.09,18.8003,110.3967,light rain,Paradise Hotel
483,Mehar,PK,88.38,27.1807,67.8229,few clouds,Gull Hassan patuja hotel
486,Ugoofaaru,MV,82.4,5.6667,73.0,overcast clouds,Ungoofaaru Inn
492,Morant Bay,JM,83.82,17.8815,-76.4093,overcast clouds,Whispering Bamboo Cove Resort
496,Kirakira,SB,80.17,-10.4544,161.9205,broken clouds,SanBiz Lodge
504,Itoman,JP,83.17,26.1247,127.6694,few clouds,Southern Beach Hotel & Resort Okinawa
506,Tautira,PF,82.42,-17.7333,-149.15,light rain,Pension Oaoa
507,Key West,US,89.6,24.5557,-81.7826,clear sky,Fairfield Inn & Suites by Marriott Key West
511,Gillette,US,80.24,44.2911,-105.5022,clear sky,National 9 Inn - Gillette WY
516,Aswan,EG,83.5,24.0934,32.907,clear sky,Nuba Nile
521,Kaya,BF,88.36,13.0917,-1.0844,scattered clouds,Maison de l'appelé
523,Namatanai,PG,78.71,-3.6667,152.4333,light rain,Seagulls Inn Namatani
529,Fomboni,KM,76.33,-12.28,43.7425,clear sky,Auberge les abou
530,Sunrise Manor,US,90.93,36.2111,-115.0731,few clouds,Comfort Inn & Suites Las Vegas - Nellis
531,Bac Lieu,VN,77.2,9.285,105.7244,overcast clouds,Khách sạn Sài Gòn Bạc Liêu
532,Lukulu,ZM,76.89,-14.3707,23.242,overcast clouds,Ruth Guest House
533,Naze,JP,76.86,28.3667,129.4833,scattered clouds,オーベルジュ・アガルイ
534,San Fernando,PH,80.96,15.0286,120.6898,overcast clouds,Maharlika Hostel
538,Touros,BR,81.5,-5.1989,-35.4608,clear sky,INN NEW HORIZON
540,San Quintin,MX,78.64,30.4833,-115.95,few clouds,Don Eddie's Sport Fishing Center
542,Cartagena Del Chaira,CO,85.6,1.3349,-74.8429,moderate rain,HOTEL LA ROCA
543,Sao Felix Do Xingu,BR,84.07,-6.6447,-51.995,overcast clouds,Rio Xingu Camping
549,Huicungo,PE,92.1,-7.2833,-76.8,overcast clouds,Gran Pajaten Trek
550,Bathsheba,BB,86.61,13.2167,-59.5167,scattered clouds,Atlantis Hotel
552,Ganzhou,CN,75.74,28.8184,115.4327,clear sky,Laotou Farm Restaurant Hostel
553,Luangwa,ZM,81.46,-15.6167,30.4167,scattered clouds,Gerasimos Safari Lodge
555,Labuan,MY,75.56,5.2767,115.2417,scattered clouds,Tiara Labuan Hotel
559,Saucillo,MX,81.19,28.0167,-105.2833,overcast clouds,Hotel La Posada de San Judas Tadeo
562,Veraval,IN,80.82,20.9,70.3667,few clouds,Lords Inn Somnath
565,Pascagoula,US,80.62,30.3658,-88.5561,overcast clouds,Regency Inn
567,Cabedelo,BR,81.27,-6.9811,-34.8339,few clouds,Hotel Pigalle
568,Acarau,BR,81.7,-2.8856,-40.12,overcast clouds,castelo pizzaria
574,Buala,SB,80.02,-8.145,159.5921,broken clouds,Maringe Lagoon Lodge
576,Rock Sound,BS,82.35,24.9,-76.2,few clouds,Rock Sound Club
578,Oranjestad,AW,85.95,12.524,-70.027,scattered clouds,Divi Village Golf & Beach Resort
579,Praya,CV,81.14,14.9215,-23.5087,few clouds,LT Aparthotel
580,Trinidad,BO,78.78,-14.8333,-64.9,light rain,Hotel Piesta
582,North Platte,US,82.99,41.1239,-100.7654,clear sky,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
583,Uaua,BR,93.15,-9.8414,-39.4817,clear sky,Hotel Uauá
584,Calama,CL,77.49,-22.4667,-68.9333,clear sky,Diego De Almagro Calama
586,Salinopolis,BR,83.21,-0.6136,-47.3561,overcast clouds,Salinas Park Resort Maçarico AP101
594,Puri,IN,79.32,19.8,85.85,overcast clouds,OYO 1577 Hotel Shree Hari Grand
595,Quelimane,MZ,78.75,-17.8786,36.8883,scattered clouds,Hotel Flamingo
596,Acajutla,SV,93.54,13.5928,-89.8275,scattered clouds,asi es
598,Chickasha,US,86.5,35.0526,-97.9364,clear sky,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
600,Tay Ninh,VN,77.04,11.3,106.1,overcast clouds,Thanh Tuyền Hotel
602,Laguna,US,94.64,38.421,-121.4238,clear sky,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
603,Domoni,KM,76.03,-12.2569,44.5319,scattered clouds,Al Djadid
606,Changuinola,PA,84.79,9.4333,-82.5167,broken clouds,ApartHotel Villa Esmeralda
607,Gizo,SB,81.5,-8.103,156.8419,light rain,Imagination Island
609,Jiwani,PK,80.44,25.05,61.7417,few clouds,Al Mumtaz Transport Jiwani
610,Keti Bandar,PK,80.83,24.1447,67.4497,scattered clouds,Haji laloo memon house
619,Zamora,EC,83.44,-4.0692,-78.9567,light rain,Cabañas Ecológicas Copalinga
627,Pemangkat,ID,79.34,1.1667,108.9667,light rain,Ramah Kost KITA
631,Villa Carlos Paz,AR,76.39,-31.4241,-64.4978,clear sky,Monte Carlo
