City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Ponta Do Sol,PT,32.6667,-17.1,70.72,76,100,5.73,overcast clouds
129,Pochutla,MX,15.7432,-96.4661,90.82,64,48,3.96,scattered clouds
130,Iqaluit,CA,63.7506,-68.5145,38.93,80,75,15.99,broken clouds
131,Aklavik,CA,68.2191,-135.0107,34.63,75,9,12.41,clear sky
132,Ikirun,NG,7.9167,4.6667,72.1,96,92,4.85,moderate rain
133,Torres,BR,-29.3353,-49.7269,57.83,64,0,4.05,clear sky
134,Poya,NC,-21.35,165.15,80.58,63,1,4.29,clear sky
135,Prado,BR,-17.3411,-39.2208,75.72,84,36,12.19,scattered clouds
136,Panguma,SL,8.1833,-11.1333,71.6,98,85,1.32,light rain
137,Gushikawa,JP,26.3544,127.8686,81.63,90,40,12.66,scattered clouds
138,Torbay,CA,47.6666,-52.7314,47.75,78,90,17.27,overcast clouds
139,Lagoa,PT,39.05,-27.9833,71.96,86,78,10.67,broken clouds
140,Esperance,AU,-33.8667,121.9,48.04,68,97,11.34,overcast clouds
141,Ahipara,NZ,-35.1667,173.1667,66.11,75,100,7.67,overcast clouds
142,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,83,40,9.6,scattered clouds
143,Magistralnyy,RU,56.1725,107.4458,30.31,87,100,3.47,overcast clouds
144,Tagusao,PH,9.1924,117.8141,77.97,85,98,5.7,overcast clouds
145,Weihe,CN,32.9952,105.3247,51.67,96,100,6.38,light rain
146,Okhotsk,RU,59.3833,143.3,26.58,67,8,15.59,clear sky
147,Port Hedland,AU,-20.3167,118.5667,62.65,100,2,5.75,clear sky
148,Sauda,NO,59.6506,6.3542,50.68,83,100,7.45,overcast clouds
149,Carolina,PR,18.3808,-65.9574,85.89,67,40,18.41,scattered clouds
150,Dicabisagan,PH,17.0818,122.4157,76.87,93,100,3.15,moderate rain
151,Aktau,KZ,43.65,51.2,46.98,51,100,20.92,overcast clouds
152,Longyearbyen,SJ,78.2186,15.6401,33.21,88,99,8.5,overcast clouds
153,Young,UY,-32.6833,-57.6333,58.21,70,0,7.07,clear sky
154,Upernavik,GL,72.7868,-56.1549,29.97,52,100,5.21,overcast clouds
155,Malinyi,TZ,-8.9333,36.1333,76.1,43,34,3.71,scattered clouds
156,Iwanai,JP,42.9744,140.5089,53.37,84,45,5.82,scattered clouds
157,Victor Harbor,AU,-35.5667,138.6167,65.8,49,78,8.57,broken clouds
158,Kodiak,US,57.79,-152.4072,45.79,91,100,1.3,overcast clouds
159,Qaqortoq,GL,60.7167,-46.0333,37.08,72,2,9.46,clear sky
160,Richards Bay,ZA,-28.783,32.0377,65.95,90,100,6.82,light rain
161,Pelym,RU,61.0108,61.9978,33.37,92,100,4.92,overcast clouds
162,Kaminskiy,RU,57.1516,41.4732,35.6,77,0,5.91,clear sky
